Time,TrackingValue
4337.00000, -101.31345
4362.00000, -101.18541
4387.00000, -100.91646
4412.00000, -100.75673
4437.00000, -100.80014
4462.00000, -100.90412
4487.00000, -100.87331
4512.00000, -100.61647
4537.00000, -100.31551
4562.00000, -99.70737
4587.00000, -99.17610
4612.00000, -98.24051
4637.00000, -97.59807
4662.00000, -96.58680
4687.00000, -95.90923
4712.00000, -94.83550
4737.00000, -94.13526
4762.00000, -93.10585
4787.00000, -92.41110
4812.00000, -91.54085
4837.00000, -91.02146
4862.00000, -90.32208
4887.00000, -89.97673
4912.00000, -90.20617
4937.00000, -90.75814
4962.00000, -91.63905
4987.00000, -91.74695
5012.00000, -90.93002
5037.00000, -90.11798
5062.00000, -89.38595
5087.00000, -89.36450
5112.00000, -89.94291
5137.00000, -90.41548
5162.00000, -90.94740
5187.00000, -91.10044
5212.00000, -91.08216
5237.00000, -90.93191
5262.00000, -90.72880
5287.00000, -90.64814
5312.00000, -90.63772
5337.00000, -90.65163
5362.00000, -90.66055
5387.00000, -90.66234
5412.00000, -90.66282
5437.00000, -90.66557
5462.00000, -90.66348
5487.00000, -90.66641
5512.00000, -90.66746
5537.00000, -90.66753
5562.00000, -90.66756
5587.00000, -90.66719
5612.00000, -90.66747
5637.00000, -90.66748
5662.00000, -90.66792
5687.00000, -90.66759
5712.00000, -90.66725
5737.00000, -90.66760
5762.00000, -90.66799
5787.00000, -90.66752
5812.00000, -90.66724
5837.00000, -90.66703
5862.00000, -90.66743
5887.00000, -90.66769
5912.00000, -90.66741
5937.00000, -90.66729
5962.00000, -90.66732
5987.00000, -90.66765
6012.00000, -90.66753
6037.00000, -90.66721
6062.00000, -90.66736
6087.00000, -90.66726
6112.00000, -90.66746
6137.00000, -90.66742
6162.00000, -90.66731
6187.00000, -90.66743
6212.00000, -90.66781
6237.00000, -90.66759
6262.00000, -90.66749
6287.00000, -90.66728
6312.00000, -90.66746
6337.00000, -90.66756
6362.00000, -90.66729
6387.00000, -90.66735
6412.00000, -90.66736
6437.00000, -90.66746
6462.00000, -90.66753
6487.00000, -90.66744
6512.00000, -90.66735
6537.00000, -90.66726
6562.00000, -90.66734
6587.00000, -90.66745
6612.00000, -90.66737
6637.00000, -90.66724
6662.00000, -90.66732
6687.00000, -90.66717
6712.00000, -90.66731
6737.00000, -90.66743
6762.00000, -90.66734
6787.00000, -90.66732
6812.00000, -90.66737
6837.00000, -90.66761
6862.00000, -90.66743
6887.00000, -90.66754
6912.00000, -90.66739
6937.00000, -90.66741
6962.00000, -90.66738
6987.00000, -90.66738
7012.00000, -90.66737
7037.00000, -90.66740
7062.00000, -90.66759
7087.00000, -90.66739
7112.00000, -90.66741
7137.00000, -90.66734
7162.00000, -90.66740
7187.00000, -90.66740
7212.00000, -90.66727
7237.00000, -90.66738
7262.00000, -90.66750
7287.00000, -90.66749
7312.00000, -90.66730
7337.00000, -90.66733
7362.00000, -90.66752
7387.00000, -90.66734
7412.00000, -90.66729
7437.00000, -90.66750
7462.00000, -90.66751
7487.00000, -90.66740
7512.00000, -90.66722
7537.00000, -90.66739
7562.00000, -90.66727
7587.00000, -90.66721
7612.00000, -90.66732
7637.00000, -90.66740
7662.00000, -90.66733
7687.00000, -90.66759
7712.00000, -90.66734
7737.00000, -90.66720
7762.00000, -90.66732
7787.00000, -90.66734
7812.00000, -90.66735
7837.00000, -90.66742
